year,age1,age2,age3,age4,age5,age6,age7,age8,age9,age10
1860,0.481894007242223,2.29786650963101,4.9002816090037,7.85202861469961,10.6873329682772,12.9481923775226,14.6727251065341,16.0731054062845,17.2253080401382,18.138138504092
1861,0.489339951988891,2.22197749251328,4.93478429132247,7.78863452602018,10.5837766102476,12.9534069526148,14.7548044866987,16.1001222996005,17.1695777961861,18.0645832835497
1862,0.515711671777052,2.23707503367786,4.80894059209825,7.74769852735121,10.3808673422376,12.674425539478,14.5601207003336,15.9184689926737,17.0043824823483,17.8506265178272
1863,0.511503123275801,2.31120578251053,4.87433679503991,7.7201668549596,10.4213325909898,12.6051613944461,14.4039379196533,15.8336935059737,16.9021474083922,17.7367500684804
1864,0.515832514543281,2.30080604812522,4.97541773225522,7.74081481976387,10.2873816810081,12.480254061443,14.2226647537258,15.5805737799582,16.7223479793844,17.5725952557353
1865,0.491788574815393,2.31424081962022,4.98758175293157,7.93988514197708,10.4927297421093,12.6645745985667,14.4422136763087,15.7759280909236,16.8348422338145,17.7062261403902
1866,0.497395002097506,2.23194129257723,4.96797889018039,7.90086859724623,10.5332546754016,12.6592339042732,14.3810850939297,15.7445255405,16.7801124800635,17.6408398619604
1867,0.494544975969316,2.24544998949793,4.87008574015247,7.85629020380542,10.5249201201447,12.7475686234886,14.5024087350562,15.8514380412014,16.9308200940312,17.7406524586817
1868,0.501246975490089,2.24255343866379,4.88430722858266,7.76385216535174,10.5685802718886,12.8053985702001,14.5956371616629,15.9230870156333,16.9647821168059,17.7907518201529
1869,0.505145536119376,2.26961065051949,4.8649241624715,7.80502267545634,10.5086468860711,12.8230276164439,14.599541684235,15.9918626958482,17.0146308730399,17.8006388981937
1870,0.49922433510168,2.27798332477149,4.9025351038781,7.72632994820452,10.4651198704302,12.7083365199293,14.544363670291,15.9148903239107,17.0037857741296,17.7892337410664
1871,0.478827218714675,2.25389506069132,4.91763038343222,7.76854325348992,10.4258222581777,12.7454345101456,14.5523312007924,15.9919419791503,17.0591636550716,17.8963200620837
1872,0.513173034153848,2.22813168965983,4.9003275269658,7.80706762983317,10.4820822605462,12.7379088991116,14.5682126795802,15.9794677876744,17.1059823859005,17.9207410355218
1873,0.521207525817079,2.27181305289134,4.78282027418156,7.62713411387931,10.2403019193826,12.4403032440813,14.2076837195031,15.6188530204724,16.7424915468072,17.6812660597232
1874,0.523442440379358,2.32907759368399,4.90904503316351,7.58962965393823,10.1601788992296,12.3232961197147,14.0438286807458,15.3466968937382,16.4600707827179,17.377466532364
1875,0.489708655646326,2.31639297290167,5.00920014151043,7.81449696332909,10.3497146401563,12.5285663309111,14.239704844021,15.5733585871074,16.6396883959907,17.5379069917059
1876,0.527612563696625,2.26515483102145,4.9840209201673,7.91125826953756,10.4281753105879,12.5123299868412,14.2436192552942,15.5738048834978,16.6485490676223,17.5141300820339
1877,0.484512569220441,2.32689715771893,4.89929468730448,7.86221318303097,10.5813157635282,12.7096398864948,14.3913774039646,15.7490025157221,16.7571162082889,17.6397348804403
1878,0.507058867766524,2.2539601489928,5.01057846267748,7.82353818433027,10.6254038915627,12.868209379965,14.5486452480596,15.8973380802011,16.915202771371,17.7257820483566
1879,0.505946395116875,2.29467265244195,4.90387992099207,7.91008367908861,10.5589164392265,12.8667418871639,14.6633980747232,16.008444934353,17.0201729926331,17.8051253368585
1880,0.512774913768855,2.27684416119889,4.9082121672119,7.71170465990127,10.4834421299384,12.644946035595,14.4601754820465,15.8676585528697,16.9118327672251,17.7129376498012
1881,0.522819145009055,2.31389678969892,4.89006180986562,7.70721992210087,10.2669037323903,12.5065496528113,14.2147521782529,15.6418418553289,16.7215841621659,17.5505642126806
1882,0.516936992602515,2.35787628785556,5.01784306060829,7.7932623668967,10.4369453481459,12.6077346862944,14.3942434300776,15.7180658790901,16.8301878452511,17.6584648727851
1883,0.518643869440573,2.31447397439328,5.03192771288838,7.84934255949678,10.4054594789298,12.5743539684252,14.2789416627033,15.7158421859532,16.766912974654,17.6336251358296
1884,0.545373248943279,2.35219417884113,4.99280036113018,7.85834137030242,10.3818480336759,12.5008391453624,14.1972718818077,15.5213603515031,16.5767411932637,17.4055773962927
1885,0.506093239720008,2.37867754521832,5.00871877328477,7.86402460873208,10.4531554769942,12.5823963428453,14.2579264439771,15.5696724176621,16.5715360146189,17.4728974260896
1886,0.521570191254431,2.29392098780866,5.03952530916876,7.85737278903283,10.3953093214274,12.5545779419637,14.2115127613173,15.5148478321284,16.5402768157853,17.3773450792131
1887,0.537334793321828,2.32468979946034,4.92745450863002,7.87093041045438,10.3440092091055,12.4310899892691,14.1397492037747,15.4121944137088,16.4209890587805,17.2782678798507
1888,0.501462017021403,2.34465227722344,4.9696708240517,7.80346331948863,10.4668086863284,12.5372491580245,14.2133473939033,15.5359035122329,16.541501896491,17.3273181150205
1889,0.511510743908696,2.27817984936728,4.99870832720228,7.85364794325784,10.4489636399933,12.6209580781595,14.3016395714021,15.6091184024409,16.6272444150106,17.427045750943
1890,0.507030798588974,2.29414523327796,4.90132385730986,7.87957568969347,10.4791939261838,12.6124082497663,14.3529243479448,15.6533934650456,16.6622923249419,17.4561906305953
1891,0.499073615067135,2.28625535690667,4.94429427189601,7.81385414787834,10.5777157876277,12.7366051294712,14.4368198079789,15.7636042426952,16.7983006235066,17.5961748671875
