year,age1,age2,age3,age4,age5,age6,age7,age8,age9,age10
1860,0.446250551382085,2.16729581809803,4.60241048402313,7.315597788336,9.75524079794513,11.7310396477004,13.2534089356815,14.538039134934,15.6357906961008,16.5163884197721
1861,0.451209319734952,2.04724226325313,4.57382253089214,7.15616529017473,9.57350580893779,11.5449077731583,13.1299651258784,14.4030672791572,15.4630105791803,16.4399751693016
1862,0.481869541441794,2.08700327731257,4.45674385314323,7.02723606116115,9.25602971118508,11.1881197082083,12.8386981068556,14.12041190005,15.2246984811217,16.1440820780074
1863,0.485028763619912,2.19706727760493,4.54892243941555,6.98511504339193,9.1683205969746,11.0431010172423,12.5769735724342,13.883376045042,15.0553259362165,16.0044770225309
1864,0.494889331167461,2.18230268414721,4.59090931630433,6.94999069642224,9.09410151005125,10.9233910193977,12.4228076529217,13.7014795162099,14.855444782604,15.8354653876099
1865,0.454544224152414,2.20100919372229,4.71233252344653,7.23822691537107,9.37082062697538,11.1401247060228,12.6764357680246,13.8919126070364,15.02391904615,15.929432922463
1866,0.468174527085069,2.12449966224441,4.6911194022087,7.23384740452394,9.45280963139449,11.2052710406664,12.6821964434632,13.9404669007584,14.9816672565986,15.8699235207654
1867,0.442330678707154,2.11572801171722,4.56928210276167,7.27231296670805,9.56297698439484,11.4271132940174,12.8622064585885,13.992877359868,15.1033268320068,15.9490091674154
1868,0.460996421681188,2.09155301769524,4.58807910340815,7.24587386122029,9.64395970211127,11.5232017493642,13.0139353086039,14.1910115387587,15.2008397898036,16.0168977683712
1869,0.471372253327818,2.13187662132841,4.56135862026915,7.27123210017465,9.5733291595222,11.5442620603774,13.069554639271,14.3471358439775,15.2886825563615,16.0677047800796
1870,0.464717302666544,2.12672322010494,4.5405818459945,7.15050733571522,9.48638177338349,11.3709960241391,12.9940847832965,14.3331853327449,15.3310705717669,16.1067277908698
1871,0.441759033521699,2.11050627838046,4.55586117610187,7.17640537423601,9.49623380093706,11.4098488744253,13.0206722594045,14.3546539585151,15.3828941682661,16.2153281230185
1872,0.473762000235649,2.12303889317669,4.60022778477379,7.2520694687189,9.61089187549051,11.5122732017959,13.0647325701352,14.3570409753936,15.3920454734382,16.2710155876484
1873,0.494728157304081,2.13572914866935,4.4382250892595,6.91491105555753,9.12245874178975,11.0341607897753,12.6335854265187,13.9991982327835,15.0812683899992,15.99432165811
1874,0.496697568401542,2.18745612285035,4.45492038116645,6.77950197923388,8.92123662861408,10.7283348419945,12.324835249458,13.6269881596427,14.7731597165527,15.6847493064965
1875,0.446491352609415,2.18813986929381,4.66250473801128,7.04047790891878,9.15803295679025,10.9546095286574,12.4981332747762,13.8143201905715,14.9038671304868,15.7880264742728
1876,0.498494578231021,2.12361605258909,4.69140429269123,7.18205414435254,9.3065685982763,11.082433897191,12.5620624759857,13.8029272297759,14.8971388117597,15.7392897374906
1877,0.444759457491626,2.17228523118117,4.59183051854595,7.24838892301942,9.50779147875557,11.2359442562246,12.6912869787203,13.878691497959,14.9407548029601,15.8515374316172
1878,0.476565353278914,2.12085746871941,4.71566463144,7.28690938959874,9.64767403628176,11.4616021028994,12.8863546904908,14.0854811577192,15.0674651246134,15.936760272468
1879,0.469583794469865,2.17735869572947,4.61927752220403,7.36991065081993,9.6334763392194,11.5780975039907,13.0672569772743,14.2071890763539,15.1641908789308,15.9703041619391
1880,0.481597523702339,2.13762028170121,4.60205567105394,7.13003569015696,9.47868591578703,11.3330445921257,12.9416108010872,14.1901954507651,15.1259436722079,15.9411975378883
1881,0.49713100695046,2.1761956013985,4.55979149838841,7.05243365214115,9.2647995048141,11.1695703131794,12.6985754977654,14.0178282471172,15.0185393532398,15.8405235371453
1882,0.491843052786385,2.26849933226047,4.72465113024906,7.263755768624,9.51896632370891,11.3500310647956,12.9496305664237,14.1894610033334,15.244756664112,15.983198892794
1883,0.497532978223808,2.22135658864243,4.74477420407734,7.26840512600768,9.47203115666205,11.3244933801299,12.8455368133323,14.1595510549838,15.2084596212711,16.020217660473
1884,0.528319892829069,2.25089787416966,4.71217039421744,7.26509476346348,9.46065927425061,11.2701614762491,12.7902326080512,14.0010211878584,15.0467964652911,15.7936023295114
1885,0.476782156074454,2.25756336703023,4.67576099352869,7.1658376796719,9.37755679088423,11.2178652537713,12.743822688275,14.0063325292121,15.0369128541652,15.81874578178
1886,0.487617892510242,2.17206561214866,4.76071661409994,7.18961039555348,9.34216133773923,11.1946142125383,12.7249606154782,13.9725699154557,14.9755247845401,15.7431150733487
1887,0.503982999867032,2.18855529535868,4.65921332680324,7.19983155982276,9.30670549672289,11.1347028833313,12.6543192890745,13.8813288061883,14.8902409806315,15.6855111154729
1888,0.464407715995171,2.20364325132871,4.67137858245782,7.17634258034161,9.41438317702988,11.184108614394,12.7081843370187,13.9690660610678,14.9386280641176,15.7498546814134
