year,age1,age2,age3,age4,age5,age6,age7,age8,age9,age10
2007,0.350087838337823,,,,,,,,,
2008,0.353200289367131,1.7700246080298,,,,,,,,
2009,0.413778619878093,1.88060360572507,4.26763577633064,,,,,,,
2010,0.343980175257554,1.91017530354472,4.26778472265841,7.04972428081163,,,,,,
2011,0.30917432590299,1.67882214556452,4.22519320871436,6.96819433299281,9.71133020186033,,,,,
2012,0.320075097054856,1.61608582420097,3.86558022992941,6.88292753668541,9.52907539860347,12.0645252126345,,,,
2013,0.404643561209601,1.80742472138725,4.02097413305015,6.72384517673037,9.75904012507396,12.1464861708507,14.3225052795623,,,
2014,0.380639944805767,1.96576565240047,4.26391636337998,6.87962539270668,9.59640673426304,12.3221269277061,14.390650600875,16.1273490495603,,
2015,0.372545942407938,1.89486898894648,4.46696398979195,7.12059795778514,9.71830498561149,12.1816251919792,14.5103827018373,16.1965114159436,17.5519436955764,
2016,0.371621861220098,1.86369995483909,4.35513383805542,7.325961883168,9.92660120469559,12.3077990410783,14.3911396113237,16.2966460611564,17.5970713800395,18.6585305597234
2017,0.412393334797577,1.94162321448212,4.41520510421681,7.34061232853397,10.2694194389287,12.6308638771722,14.6278077738104,16.3288683574354,17.8130831322548,18.8519781920603
2018,0.351494013919844,1.94477412129671,4.4200343817288,7.28703216844835,10.2062185292255,12.8344532379559,14.8378178189486,16.4640067341662,17.8182257584553,18.9681932700843
2019,0.395788058047615,1.86796214625823,4.45954542565219,7.3161683252778,10.1313940676319,12.7359657604494,14.9225769864831,16.5455369060423,17.8353826807218,18.8909131086273
2020,0.397357964102295,1.98371809911608,4.37471985218285,7.37371643472132,10.1783510799823,12.6661360808986,14.8329008919173,16.5927343034956,17.8731604602982,18.8810534525972
2021,0.401673798444983,1.97969736808938,4.52431020789195,7.27869445543128,10.2212402818391,12.6770206198559,14.7911908444444,16.5274089205082,17.9390954819635,18.9172235504239
2022,0.430702872702262,2.03047881271667,4.56350580884985,7.46905168114422,10.1247772166451,12.7104493983372,14.7843713130292,16.4885060487968,17.8864465192411,19.0060343744672
2023,0.409054034044889,2.07089178390308,4.6007483954106,7.47907944592564,10.280311114755,12.6649525835034,14.8377685526354,16.5250054834685,17.8680001831727,18.9610219731975
