year,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2095,0.211892707514867,1.28667206888814,3.29517260093497,5.75551678662261,8.35628265591248,10.968236525903,12.9243681000283,15.0975559410756,16.7073215975761,17.8947460146937,18.9365145003808,19.7957321840507,20.3229822427263,20.8526067307761
2096,0.195202026074413,1.13708179118062,3.04933423708502,5.53273644739615,8.07483811648641,10.4986992793307,12.7746205709127,15.1673225838606,16.9279067007839,18.1984204664115,19.1198389270213,19.9183181082849,20.5704381350452,20.9678887818666
2097,0.233355781497472,1.18138184166084,2.96652052283593,5.42910404153031,8.05377942871821,10.4572220538526,12.5961018887011,14.8585130823539,16.7603002045575,18.120088645027,19.1118322817778,19.8350290959593,20.4830566581689,21.0093984783884
2098,0.327088457545024,1.47250432707244,3.28916070211488,5.63465645034771,8.27703056379501,10.7741906789053,12.8982318602533,14.5064298807383,16.268800072586,17.775559032842,18.8815302511777,19.6936482221287,20.3059810133827,20.8525698297907
2099,0.381037446037511,1.81550669236287,3.85892273718289,6.17101771186241,8.6659292903119,11.1761627901401,13.3792104849644,14.8980305554529,16.1602646592046,17.5103686635445,18.6410498122926,19.4927319963238,20.1416283526023,20.6405783072504
2100,0.291366610867089,1.77408839430946,4.12402710603683,6.57442882783751,8.95320443169188,11.2888475183661,13.490379789405,15.3851781204319,16.5906357668501,17.5731812290383,18.6070751483078,19.4869311874224,20.1617023154453,20.6725112851182
2180,0.421280127461979,2.06930644573657,4.67025133291044,7.521674834232,10.4011680872022,12.9182263241495,15.0379012452713,16.227228418079,17.0841818273398,17.7713959892155,18.5121065067109,19.0240141912438,19.5046837329221,19.8565244019011
2181,0.405325411269875,2.06458144585447,4.68886052231965,7.65871569024081,10.4279804934104,12.9753502601583,15.0738115091154,16.1812562287265,17.152268297035,17.8521808549602,18.429872727287,19.0569862702872,19.4885591459331,19.8946782906006
2182,0.42596985739403,2.06015053094783,4.71542019212992,7.70549903501203,10.5736232905968,13.0103328473373,15.1251219394986,16.1998106461296,17.0744239236779,17.8522495613887,18.4188587660219,18.8911021508874,19.4094433479978,19.769549547707
2183,0.431773973464844,2.11459558882504,4.71692843996668,7.73793855784317,10.6186325676151,13.1337103689149,15.1508662896337,16.2965927409578,17.1480376955227,17.8389722174728,18.466073399937,18.9305113963874,19.3160693668218,19.7406722283556
2184,0.384167023553484,2.0677467240558,4.74878102347477,7.73840772338351,10.689814803392,13.2529554430891,15.3654139453147,16.5227767311255,17.3937447663284,18.064247572173,18.6075923227658,19.1086497262936,19.4853751489528,19.801942149665
2185,0.321568167481173,1.84497882058411,4.54391396536053,7.61984245720439,10.5413512734493,13.1729812056376,15.3309966768426,16.4616344106828,17.4152630305898,18.1393628839802,18.6932888641321,19.1491092125333,19.5716151612201,19.8883806045632
2186,0.381867454468759,1.7954469292768,4.35346385120676,7.49098793213762,10.4872118777916,13.0701397080967,15.2621678474193,16.2463656566173,17.1714715246015,17.9650064597337,18.5804515246338,19.0572544620199,19.4484681976478,19.8101994516491
2187,0.39643297813435,1.96523787240535,4.3213249161657,7.33332785318601,10.4161961083221,13.0750241203613,15.2317959378022,16.1346367436176,16.9486397257544,17.7428922261601,18.4294826687079,18.9597054987509,19.3691792645316,19.704329160596
2188,0.449222824654003,2.05547361438738,4.57556799801115,7.28077774125647,10.1977503480706,12.8896793006661,15.0680536354086,16.0168153468334,16.7819652993087,17.4680998657604,18.1526018840004,18.7425010513531,19.2091199630879,19.568663049957
2189,0.479646449516614,2.20926876785211,4.7225247811858,7.56039238145263,10.1520545079599,12.6924288656107,14.8923800460316,15.8810148319686,16.6612828621527,17.3049750885118,17.879320831817,18.4762145431583,18.9953306952884,19.4059940582498
2190,0.457685676710265,2.26465656316171,4.93587227225231,7.76088515530481,10.488271807216,12.7647848340966,14.8707582210495,15.8335265427176,16.6281884879959,17.252607191906,17.7772913165108,18.2485781973547,18.7448561812474,19.1748540438774
2191,0.392385846687775,2.13780309056812,4.95226959750607,7.96873604549858,10.7067823462372,13.1293640449068,15.0442176407249,16.0541643496848,16.8430427100312,17.4883736353918,17.9976511836381,18.4440746036042,18.8436561726501,19.2630387512877
2192,0.445480165709464,2.04472848917588,4.79831554632649,7.92885870055884,10.775862835733,13.1393788485032,15.1189489699971,15.9678717380988,16.8313162253279,17.5008844222025,18.045647844393,18.4737715230348,18.8546096694724,19.1983137828061
2193,0.443191548567665,2.16049778818588,4.6802033627492,7.78058414497861,10.7536899432923,13.2159738387651,15.1501006239171,15.8366904697298,16.5530081125444,17.2976360349919,17.8728855300862,18.3469735545303,18.7232811159107,19.0573579928432
2194,0.46344522449495,2.17764273630295,4.84110113426102,7.65830875371184,10.6015973384669,13.1632186230461,15.1648692840248,15.8877437285207,16.4611397706735,17.0630167799777,17.6992382612893,18.1983481184423,18.6154589207835,18.9458390952226
2195,0.472759885576902,2.22929532768052,4.86469618851852,7.81513729830063,10.4779309911465,13.0150014567621,15.0951071732955,15.869187583413,16.4785028782163,16.9594286545873,17.461960098462,17.9951867307327,18.4226081214812,18.7898246901634
2196,0.458263106201027,2.24581295311625,4.9502144799286,7.88754084998726,10.693997276764,13.0100285832644,15.0953825215686,16.0944538339012,16.7206206933378,17.2112977681971,17.6071101398757,18.0216600250215,18.4698289165958,18.8278706872261
2197,0.438459659710025,2.19751549758007,4.97270918600431,8.00064000189304,10.8103399678336,13.2648006452101,15.181930503348,16.0172367917527,16.8460223531237,17.3716941933959,17.7964279239029,18.1396629012624,18.4982423461194,18.8848942659758
2198,0.457496449075091,2.17756943727214,4.92752410878561,8.02648992435218,10.9014660889867,13.3389442260584,15.3529382460372,16.2041758251661,16.8449283238395,17.507874001167,17.9352333592994,18.2820500511951,18.5676147418075,18.8673554130064
2199,0.405285625619243,2.14780514025812,4.8364699186885,7.93591524459828,10.9057658293702,13.4207973168277,15.4384823942029,16.269684818357,16.9912117657776,17.5359222604129,18.0967334260228,18.4568299288655,18.7482707320022,18.987722559287
2200,0.470826616941654,2.09578889703023,4.81283421933293,7.78712776910115,10.6938257978015,13.2279224050962,15.253992179925,16.1989615384395,16.8811597501556,17.4692894871871,17.9147515036119,18.3841500962755,18.6934963747342,18.9489875952366
