year,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2080,0.128145792970261,0.826061892807442,2.04777863475813,3.69034786102102,5.61841712420495,7.33189206716355,8.60921556527463,10.8511173210441,12.9215999220053,14.8973779113394,16.4447796041532,17.5449975489281,18.5274416407327,19.4319233307098
2081,0.146367518051116,0.778066638025027,2.14564623734247,3.79763902742951,5.6412560243275,7.56924564433682,9.16184323605498,11.3448905111099,13.3260617083851,15.078331236732,16.696721345751,17.9340095272964,18.7997220419026,19.5638691706824
2082,0.133087913639183,0.793219819597479,2.00617914784714,3.82376657903079,5.63923161920582,7.45745655079777,9.22581841552902,11.8298564819887,13.7312046900459,15.3896734400285,16.8143410723868,18.1007727520857,19.067692747961,19.7365203881952
2083,0.120262490367829,0.718925270472124,1.96123225407148,3.5592006457779,5.53899693114518,7.30594459207909,8.95765919132119,11.8527890831089,14.1062059447103,15.6847976327056,17.0254091596417,18.1540742762547,19.1571959638963,19.9021073572955
2084,0.177935758207071,0.83230010345275,2.10562001867268,3.87352364462305,5.72502625998107,7.75179870935184,9.42279411016703,11.6334960139269,14.1568939418435,16.0305369842845,17.3066070333492,18.3703400382296,19.2532546824272,20.0291189819474
2085,0.173358555098001,0.988496412386848,2.27069992569773,4.02428683349073,6.02581977281464,7.8920453383909,9.78513947961399,11.9860662423838,13.9060280957402,16.0064853449691,17.5169747948886,18.5257492728838,19.3557031848828,20.0376244901863
2086,0.142535094818207,0.892546666986105,2.37245337150183,4.03678885824376,5.95329142820138,7.91381427466127,9.61711607764015,12.3342191290599,14.2324839677938,15.8291837968498,17.5256847817812,18.7184293636417,19.5038751341058,20.1439711363841
2087,0.118875131408077,0.741042624074052,2.10532188666844,3.98011141094618,5.75122267045903,7.59627729845175,9.35835204763403,12.0978123711852,14.4326787456594,16.0001120248137,17.2862108625412,18.6251984317179,19.5516481921877,20.1556153790687
2088,0.123185863789849,0.687807104823305,1.89800240668031,3.70251028594259,5.73281646934416,7.4526528534533,9.12833288352892,11.8872792527611,14.2539678562501,16.183458966304,17.4433640157305,18.4591138172025,19.5013027560546,20.2153622720614
2089,0.150769307267369,0.775253021757512,1.94277791050555,3.63925547622824,5.6843280929624,7.71207232012671,9.3063875707367,11.8054077493534,14.1856962245045,16.134147633689,17.6736731911534,18.6590555843344,19.4433364964479,20.2394024258809
2090,0.237852338739002,1.06269037302355,2.41128993981361,4.12758420806446,6.14692574774671,8.2774851184557,10.2150135498942,12.0789379805082,14.2387377060059,16.2055872072645,17.7648109855602,18.9699855474008,19.7304279361487,20.3300823447032
2091,0.195149505989749,1.20404747365611,2.72195479227408,4.51800432618075,6.44003722348172,8.46476678729958,10.4430099561373,12.8536506338542,14.4522920930068,16.2408128734539,17.8214720547036,19.0473171261397,19.9803714699972,20.5631977230277
2092,0.196533038718452,1.09698369234222,2.94016934437423,4.89677170869899,6.85915599269446,8.75901926191249,10.6270042355269,13.0036706608866,15.0458819251687,16.3554302762228,17.7860544188456,19.0244043103839,19.970002106935,20.6818878172762
2093,0.199890095020468,1.10771349355248,2.79110665957353,5.16157682793649,7.25942860207126,9.16867520481896,10.9038517382416,13.1937450475651,15.1882946918851,16.8409856918837,17.8763990732588,18.9887450531204,19.937394646414,20.653696837567
2094,0.199153209837536,1.11452075359813,2.80405917218606,4.98586313271603,7.52264171016267,9.53897336289443,11.2642757374748,13.4338006132355,15.3621830673281,16.9852500106311,18.2975040147605,19.1065478399345,19.9655816116808,20.6905403321128
2095,0.158007278674629,1.0036887593983,2.63425722981314,4.75866006876796,7.05310654913193,9.44641803895731,11.2267635559747,13.608668780258,15.4257948577308,16.9907986054464,18.2777779604249,19.300791201429,19.9244556370027,20.581191688486
2096,0.139111187778655,0.841635928237978,2.37713830614856,4.43321447569553,6.66425557801742,8.83040619248432,10.9376079942784,13.673408957411,15.6711947303515,17.1466908402293,18.3896396233887,19.3949523645006,20.1843083929462,20.6615871330443
2097,0.172955196256919,0.879077424281007,2.28776664610969,4.35585306714585,6.61033793092051,8.78635287545668,10.7495525897173,13.4412893448131,15.7184819021718,17.3209170803299,18.477809790401,19.4370854424428,20.2037046839181,20.8002666228671
