year Weight 1 2 3 4 5 6 7 8 9 10 11 12 13 14
1946 "Obs 1" nan nan 0.35 0.59 1.11 1.69 2.37 3.17 3.98 5.05 5.92 7.2 8.15 8.13
1947 "Obs 1" nan nan 0.32 0.56 0.95 1.5 2.14 2.92 3.65 4.56 5.84 7.42 8.85 8.79
1948 "Obs 1" nan nan 0.34 0.53 1.26 1.93 2.46 3.36 4.22 5.31 5.92 7.09 8.43 8.18
1949 "Obs 1" nan nan 0.37 0.67 1.11 1.66 2.5 3.23 4.07 5.27 5.99 7.08 8.22 8.26
1950 "Obs 1" nan nan 0.39 0.64 1.29 1.7 2.36 3.48 4.52 5.62 6.4 7.96 8.89 9.07
1951 "Obs 1" nan nan 0.4 0.83 1.39 1.88 2.54 3.46 4.88 5.2 7.14 8.22 9.39 9.5
1952 "Obs 1" nan nan 0.44 0.8 1.33 1.92 2.64 3.71 5.06 6.05 7.42 8.43 10.18 10.13
1953 "Obs 1" nan nan 0.4 0.76 1.28 1.93 2.81 3.72 5.06 6.34 7.4 8.67 10.24 11.41
1954 "Obs 1" nan nan 0.44 0.77 1.26 1.97 3.03 4.33 5.4 6.75 7.79 10.67 9.68 9.56
1955 "Obs 1" nan nan 0.32 0.57 1.13 1.73 2.75 3.94 4.9 7.04 7.2 8.78 10.08 11.02
1956 "Obs 1" nan nan 0.33 0.58 1.07 1.83 2.89 4.25 5.55 7.28 8 8.35 9.94 10.25
1957 "Obs 1" nan nan 0.33 0.59 1.02 1.82 2.89 4.28 5.49 7.51 8.24 9.25 10.6 10.82
1958 "Obs 1" nan nan 0.34 0.52 0.95 1.92 2.94 4.21 5.61 7.35 8.67 9.58 11.63 11
1959 "Obs 1" nan nan 0.35 0.72 1.47 2.68 3.59 4.32 5.45 6.44 7.17 8.63 11.62 11.95
1960 "Obs 1" nan nan 0.34 0.51 1.09 2.13 3.38 4.87 6.12 8.49 7.79 8.3 11.42 11.72
1961 "Obs 1" nan nan 0.31 0.55 1.05 2.2 3.23 5.11 6.15 8.15 8.68 9.6 11.95 13.18
