year Weight 1 2 3 4 5 6 7 8 9 10 11 12 13 14
1971 "Obs 1" 0.662 1.709 4.444 7.321000000000001 9.529 11.605 13.513 15.327 15.744000000000002 15.744000000000002    
1971 "Obs 2" 0.9079999999999999 2.193 4.831 7.4639999999999995 9.669 11.784 13.862 15.494000000000002 16.195 16.315    
1972 "Obs 1" 0.662 1.709 4.444 7.321000000000001 9.529 11.605 13.513 15.327 15.744000000000002 15.744000000000002    
1972 "Obs 2" 0.9079999999999999 2.193 4.831 7.4639999999999995 9.669 11.784 13.862 15.494000000000002 16.195 16.315    
1973 "Obs 1" 0.662 1.709 4.444 7.321000000000001 9.529 11.605 13.513 15.327 15.744000000000002 15.744000000000002    
1973 "Obs 2" 0.9079999999999999 2.193 4.831 7.4639999999999995 9.669 11.784 13.862 15.494000000000002 16.195 16.315    
1974 "Obs 1" 0.662 1.709 4.444 7.321000000000001 9.529 11.605 13.513 15.327 15.744000000000002 15.744000000000002    
1974 "Obs 2" 0.9079999999999999 2.193 4.831 7.4639999999999995 9.669 11.784 13.862 15.494000000000002 16.195 16.315    
1975 "Obs 1" 0.662 1.709 4.444 7.321000000000001 9.529 11.605 13.513 15.327 15.744000000000002 15.744000000000002    
1975 "Obs 2" 0.9079999999999999 2.193 4.831 7.4639999999999995 9.669 11.784 13.862 15.494000000000002 16.195 16.315    
1976 "Obs 1" 0.662 1.709 4.444 7.321000000000001 9.529 11.605 13.513 15.327 15.744000000000002 15.744000000000002    
1976 "Obs 2" 0.9079999999999999 2.193 4.831 7.4639999999999995 9.669 11.784 13.862 15.494000000000002 16.195 16.315    
1977 "Obs 1" 0.662 1.709 4.444 7.321000000000001 9.529 11.605 13.513 15.327 15.744000000000002 15.744000000000002    
1977 "Obs 2" 0.9079999999999999 2.193 4.831 7.4639999999999995 9.669 11.784 13.862 15.494000000000002 16.195 16.315    
1978 "Obs 1" 0.662 1.709 4.444 7.321000000000001 9.529 11.605 13.513 15.327 15.744000000000002 15.744000000000002    
1978 "Obs 2" 0.9079999999999999 2.193 4.831 7.4639999999999995 9.669 11.784 13.862 15.494000000000002 16.195 16.315    
1979 "Obs 1" 0.662 1.709 4.444 7.321000000000001 9.529 11.605 13.513 15.327 15.744000000000002 15.744000000000002    
1979 "Obs 2" 0.9079999999999999 2.193 4.831 7.4639999999999995 9.669 11.784 13.862 15.494000000000002 16.195 16.315    
1980 "Obs 1" 0.662 1.709 4.444 7.321000000000001 9.529 11.605 13.513 15.327 15.744000000000002 15.744000000000002    
1980 "Obs 2" 0.9079999999999999 2.193 4.831 7.4639999999999995 9.669 11.784 13.862 15.494000000000002 16.195 16.315    
1981 "Obs 1" 0.46 1.5490000000000002 2.2840000000000003 7.806 10.544 11.439 14.464 15.354000000000001 15.354000000000001 15.354000000000001    
1981 "Obs 2" 0.945 1.5490000000000002 4.385 7.565 9.06 12.75 13.822000000000001 19.232 19.232 19.232    
1982 "Obs 1" 0.7040000000000001 1.4880000000000002 3.8760000000000003 7.407 9.624 12.315999999999999 15.032 18.569000000000003 18.569000000000003 18.569000000000003    
1982 "Obs 2" 0.945 2.242 4.474 7.797000000000001 10.25 12.465 15.074000000000002 16.908 18.538 20.949    
1983 "Obs 1" 0.446 1.945 4.467 7.353 9.752 11.222999999999999 15.908 18.089000000000002 21.976999999999997 21.976999999999997    
1983 "Obs 2" 0.9790000000000001 2.525 4.961 7.457000000000001 9.965 12.01 14.767000000000001 17.643 19.131 19.131    
1984 "Obs 1" 0.512 1.9509999999999998 4.928 7.433 9.552 12.18 14.181 16.733 16.733 16.733    
1984 "Obs 2" 0.981 2.645 5.284 7.827999999999999 9.758 11.672 14.548 16.527 16.527 16.527    
1985 "Obs 1" 0.581 2.07 5.332999999999999 8.376 10.850999999999999 11.585 14.247 16.399 20.853 20.853    
1985 "Obs 2" 1.001 2.637 5.521 8.082 10.407 11.469000000000001 13.448 16.658 20.853 20.853    
1986 "Obs 1" 0.528 1.902 5.2860000000000005 7.382000000000001 10.689 12.392999999999999 14.482000000000001 14.482000000000001 14.482000000000001 14.482000000000001    
1986 "Obs 2" 1.054 2.5540000000000003 5.398 7.44 10.782 12.395999999999999 13.558 13.558 13.558 13.558    
1987 "Obs 1" 0.522 1.9469999999999998 4.877 7.946000000000001 10.308 14.419 15.171 16.201 16.201 16.201    
1987 "Obs 2" 0.909 2.504 5.263999999999999 8.089 10.447000000000001 13.574000000000002 15.029000000000002 16.229 16.229 16.229    
1988 "Obs 1" 0.9059999999999999 1.621 4.887 7.777 10.302 11.786 12.415999999999999 13.889000000000001 15.119000000000002 15.119000000000002    
1988 "Obs 2" 0.9059999999999999 2.187 5.318 7.997000000000001 10.649000000000001 12.485999999999999 13.805 14.285 16.592 16.592    
1989 "Obs 1" 0.8440000000000001 1.463 4.513999999999999 7.615 9.437999999999999 12.692 12.788 17.794 17.794 17.794    
1989 "Obs 2" 0.8440000000000001 2.013 4.706 7.638 9.437999999999999 12.917 12.479000000000001 15.407 16.683 16.683    
1990 "Obs 1" 0.613 1.774 4.39 7.186 8.486 10.703 13.305 16.987000000000002 13.081 13.081    
1990 "Obs 2" 0.88 2.3 4.624 7.188 9.045 11.713 13.769 16.785999999999998 13.081 13.081    
1991 "Obs 1" 0.539 1.538 4.791 6.524 8.631 10.672 13.512 14.898 14.898 14.898    
1991 "Obs 2" 0.905 2.135 4.987 6.7379999999999995 8.865 10.809000000000001 13.767999999999999 15.478 15.478 15.478    
