year,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2080,0.247287172955234,1.42786286165716,3.38159961601589,5.78968541995378,8.41335359163122,10.6759845863,12.4148266819277,14.1586312196923,15.7865375866844,17.2145722904508,18.3882693403273,19.1743779393431,19.8063670468177,20.4724215934343
2081,0.264829363682681,1.37956417236812,3.46561081836976,5.8813865928031,8.3793269193802,10.8285860306847,12.8056062633874,14.5923117525038,15.9947960965823,17.2808510744485,18.4131022011003,19.3350405607671,19.9614691485706,20.4619703463332
2082,0.262419379084081,1.42379496875395,3.40017832411617,5.98383188765276,8.48293508575776,10.8169430460599,12.9586452383833,14.6283325692862,16.0785160479269,17.2257684789444,18.2694758185102,19.1986199553575,19.9487159199925,20.4672631072671
2083,0.262950444696511,1.40542945629572,3.42833018904273,5.85002001168958,8.49499699329822,10.8001272865299,12.8198626429639,14.9272291642154,16.2516234710299,17.377860061284,18.3070851700835,19.1435030405133,19.8894864891694,20.4981627930761
2084,0.305846536301832,1.49831469797495,3.53498794402794,6.04330935504242,8.54748334123221,11.005524319441,13.0081592726362,14.8122925553912,16.4955203674613,17.5541919368535,18.4417868458624,19.1675684263114,19.8501021430329,20.4569366015965
2085,0.272224321397987,1.54534712345319,3.59867698981855,6.09819654972138,8.68369035112098,11.0155647559031,13.1600801250284,15.0562754411891,16.5034788892892,17.8214265945187,18.6581625102695,19.3548017768229,19.9199300171219,20.4606667109591
2086,0.277049496870814,1.45751795342722,3.63558400816696,6.11185175745563,8.65218804563192,11.0272257482679,13.0369331115914,15.1347747500774,16.6375090812077,17.758262816982,18.7859321833622,19.4446558396277,20.0069585757202,20.4703067814445
2087,0.255884774071938,1.43690848354024,3.48194830648121,6.13107069308371,8.65783120680166,11.0060870916373,13.0667369560482,14.8985516803954,16.6075931086415,17.80408989386,18.6860197232968,19.5267697185619,20.0648593693362,20.5220264911564
2088,0.236591537961815,1.34325055461945,3.39769999534665,5.90003611204519,8.61216562165546,10.9477452514002,12.9874529144056,15.2086421418417,16.6822419158457,18.0237423479494,18.9463532255217,19.6185430849498,20.2535893833228,20.6626834409004
2089,0.274155251331449,1.35408129954778,3.32132246934457,5.83963402902908,8.38912888002948,10.8716551954138,12.8720634936858,14.6945229909443,16.5225788038297,17.7090827763459,18.8316438832724,19.6014731745147,20.1590856499327,20.6911020703038
