year,age1,age2,age3,age4,age5,age6,age7,age8,age9,age10
2060,0.336172783034018,1.72978792379913,4.07220369952416,7.02511325356678,9.69321332400241,12.2911961417944,14.1028334534656,15.6647693886944,16.8786262714249,17.8390920223804
2061,0.32452611700167,1.69508339312608,4.00061380237112,6.71670835074345,9.59818104562358,11.982453752717,14.125495149076,15.5951974194309,16.8396256086862,17.7886003177618
2062,0.373669750413752,1.74558697204146,4.05348300026111,6.76507129436414,9.4517103693833,11.9955648968833,13.96984538976,15.6428912981978,16.8009074126386,17.7906424813475
2063,0.399421930071391,1.90765633512738,4.19905435252415,6.88218615883995,9.57482615400732,11.9314935367002,13.9558728721019,15.4736602177056,16.7986970889831,17.747259211752
2064,0.354282286063559,1.91452128568645,4.3499539722998,6.98387172740317,9.6437744442538,12.0051623132348,13.9568249778841,15.5898688119072,16.7743693818156,17.8620945748882
2065,0.359483975429644,1.82202949814166,4.36062743593509,7.14552677488466,9.72430685532855,12.0469441080347,13.9784065903158,15.5361344088323,16.7845475185963,17.7884636843647
2066,0.390165927629872,1.86497387452027,4.24466972510976,7.13450643903426,9.79068131563752,12.0051682467195,13.8589028179791,15.3681610674174,16.6295328187994,17.6966060629428
2067,0.347424964566769,1.87837266274224,4.24269187353798,6.96205796107133,9.8037060532389,12.1190986197539,13.8747527337155,15.3471317768917,16.5496617456947,17.575031775401
2068,0.339352638477994,1.74931076807354,4.22823653222643,6.93622636105684,9.64555426994897,12.1241385066172,13.9867024763943,15.4094628724715,16.5845300026908,17.5738911995445
2069,0.375502952471963,1.79262168880757,4.10229426344697,6.94551293082072,9.56807107884318,11.8695162126042,13.8059974672239,15.3309403545174,16.4816052506963,17.4629249089213
2070,0.400273385528264,1.92728948510212,4.25943551462596,6.91805328345736,9.70068492377315,11.9169464872743,13.7467714416103,15.3126128377942,16.5609435215346,17.5028012102207
2071,0.427968318898727,2.01393766180824,4.41509813507373,7.04240730975815,9.57594179374638,11.8499890373052,13.6383834648042,15.1379532933939,16.4309821507167,17.4333688167457
2072,0.404415138426289,2.04813338237848,4.54733447713138,7.29066914274118,9.7631188701872,11.9053947168252,13.7489345141228,15.1725841267719,16.3970345018574,17.4424171460622
2073,0.317644476048302,1.84947988508756,4.42905143453467,7.27386707786489,9.85586010788466,11.9883931134354,13.7519392006041,15.2660262974721,16.4545166187076,17.4294803931059
