year,age1,age2,age3,age4,age5,age6,age7,age8,age9,age10
1960,0.529320811964066,2.28021943633942,,,,,,,,
1961,0.516281201608157,2.3004578841203,4.88257168406091,,,,,,,
1962,0.519614879067357,2.28716530184388,4.86968195145548,7.5493264322843,,,,,,
1963,0.481217285621514,2.26048164715102,4.81476342807083,7.6281210999785,10.1419723305873,,,,,
1964,0.468113121832377,2.19975168465003,4.8591105145388,7.68178982481807,10.3531326990008,12.5252904889523,,,,
1965,0.500746802534172,2.16885880182652,4.73616943817896,7.6778171874001,10.3467561787101,12.5509292700715,14.2225475066243,,,
1966,0.491002389833532,2.27096418612987,4.79601577043479,7.58786366114957,10.4544821158729,12.7473456219812,14.4857192684496,15.8232175741464,,
1967,0.504725949148005,2.22424833458633,4.8824012733358,7.53261574681823,10.1840799409666,12.5549974290391,14.3254472156366,15.7125914741329,16.766593908512,
1968,0.528411608213133,2.29738023046779,4.84577501028532,7.70378684399448,10.1326435388055,12.3222124762049,14.1753306488875,15.5492588691524,16.6528050040813,17.4752699905803
1969,0.488746269660339,2.28263469859695,4.831326259182,7.57230682017084,10.2740692708469,12.3420854670557,14.1384162094669,15.6330914189098,16.729761136034,17.6274586535919
1970,0.517091594500898,2.2226788694091,4.81107823048407,7.61151021926863,10.108536403029,12.3053773038553,13.9548638977465,15.3666824438721,16.5677905626863,17.4528642329632
1971,0.517003003265829,2.34018351618281,4.8394667699978,7.72628966957745,10.3728998006651,12.4662338928285,14.2118851963431,15.5134985759728,16.6348457516358,17.534013720782
1972,0.514623266106039,2.33542135389352,5.03163381761176,7.72661201167486,10.4315991727795,12.5826207172038,14.2322549626709,15.6034432989312,16.6764692058432,17.5185744535617
1973,0.519562443485975,2.3430178717698,5.01657614598538,7.96499546428536,10.4997507924704,12.6770933767498,14.3621733501521,15.6991235182725,16.7211938996523,17.5074757360117
1974,0.501230654036381,2.34468561764973,5.06311876870746,7.99413717629733,10.7068392249815,12.8498491442094,14.6054826881565,15.9394273261161,16.9374435895551,17.7138600353434
1975,0.526151965912903,2.31540958556149,5.04434169489405,7.96676670780046,10.638741702317,12.8463679049793,14.5535711096521,15.9274122338463,16.9310077578848,17.7255648822162
1976,0.50408627649813,2.34009275871113,5.01459513423602,7.93218031691987,10.5908608031723,12.783349047805,14.5589609714663,15.9016904575171,16.9316285451528,17.743835884931
