year,1,2,3,4,5,6,7,8,9,10
2080,0.563483076508249,2.23804023668517,4.50427613203279,6.70679365148946,8.50971858990645,9.93143182060723,11.0371589849736,11.8931566874642,12.5842692914517,13.1394247209969
2081,0.568073133927273,2.23170177713165,4.3599111201337,6.52296988006112,8.35694426467919,9.75182237545992,10.8267274498262,11.6813092876602,12.3530675334453,12.9120744091025
2082,0.565418484541659,2.1877182173291,4.24869860657636,6.24466607373054,8.01995915202082,9.41667893482514,10.4402366137677,11.266195271061,11.9576274155692,12.5297130083816
2083,0.561372435015796,2.18209636642133,4.20406579278374,6.15161734952761,7.80596387217679,9.17257871875887,10.2001617870347,10.9792254796678,11.6448023944654,12.2307893358971
2084,0.568624601015314,2.18514169012252,4.21198646738704,6.12992149690206,7.75200469122746,9.03379684813715,10.0475729183379,10.8207655119471,11.4164423285922,11.9398951254126
2085,0.559417946765546,2.21744501222955,4.26493492299096,6.21245612584231,7.8307396615854,9.10465092048719,10.0742425699397,10.8557621891284,11.4681238053483,11.9425385683801
2086,0.573374788555718,2.25753135694501,4.40161825202226,6.40166516592032,8.07105969832831,9.36193739037032,10.3351500678775,11.0557309788606,11.637675824148,12.1077141695336
2087,0.56178686488768,2.18562996585741,4.25727838117206,6.25609110282777,7.89512455879567,9.17077077099851,10.1327492056315,10.8774216669533,11.4460105072248,11.9164660342708
2088,0.581674371733392,2.34543180745372,4.53416787146239,6.63573346002387,8.40702509229476,9.7557278197281,10.7603500475899,11.4972088208683,12.0571108449676,12.4901861945308
2089,0.56156346041614,2.31905350487988,4.6006839413413,6.73768738640153,8.53784247609364,9.94898954511391,11.0066907980721,11.7961920096448,12.3733765100586,12.8206877910996
2090,0.574890746686499,2.25775155480809,4.50114944240056,6.68607508879602,8.47816043646495,9.88313054129069,10.9449770973704,11.7607908983503,12.3644867482692,12.8095739171221
2091,0.569710202434178,2.26950270193735,4.41717570522325,6.57264947846979,8.40571281841769,9.80267836164165,10.8659068490513,11.6673638315596,12.3068737223921,12.7913893815831
2092,0.564633705675383,2.1883118893746,4.28402717928957,6.28875412850393,8.05226746613102,9.44526092627452,10.4817003747073,11.2822869855767,11.9283552448961,12.491064304193
2093,0.558234164795065,2.22853528879517,4.30583196543896,6.33147277868394,8.02803419738329,9.41387166523929,10.4747290988368,11.2749285130171,11.9143250036698,12.4538346566811
2094,0.554647632527348,2.12427696833797,4.1594795490258,6.07928484344563,7.72468111883258,9.05192573650434,10.1183923926597,10.9257774120884,11.5594977364311,12.0837259149377
2095,0.569851821833018,2.18381012332486,4.17396386358207,6.12619621934507,7.7396655373553,9.0357844283518,10.0643101996615,10.8984188973242,11.5375232894443,12.0494934042141
2096,0.563384118813052,2.12702586921901,4.07458308385264,5.90727398906953,7.48926500134803,8.71109120167328,9.68153464678223,10.4398316731231,11.0978966087679,11.6181989323714
2097,0.55789832076878,2.10026893765814,3.98722059120213,5.78163476453196,7.26913716763445,8.4658453516719,9.35148164797033,10.0627179024142,10.6490661237813,11.191845212276
2098,0.563599873620361,2.08698683853485,3.94669265126235,5.68645895606861,7.1448433653437,8.27247309247923,9.1422258456716,9.76881932793906,10.2739685438475,10.7283725395379
2099,0.564079996375798,2.1950072866109,4.12777058779922,5.92758147406286,7.40940048395044,8.56672490751161,9.43646600158291,10.1026215490508,10.5745358886705,10.9522025707461
2100,0.548046691445448,2.01379730884982,3.88994815658027,5.59689782521132,7.00567750848133,8.09127733915678,8.9077044674737,9.54168135765491,10.128751675847,10.5782301192122
2180,0.510902017542836,1.81121049954836,3.29625892745163,4.58320812317172,5.60543196576418,6.35411751821667,6.89860281083868,7.3014201429142,7.61243055044094,7.89108788454926
2181,0.506227215061101,1.80016870815638,3.29060951909545,4.61229270988791,5.6328361411752,6.4078639527842,6.98292333336462,7.39513952438337,7.70524676792307,7.94511657816033
2182,0.518813493289797,1.82346946147136,3.328259592553,4.67062451537132,5.72879780942125,6.50003082921242,7.08196653085428,7.51864918579703,7.83864444460633,8.07737347097504
2183,0.527085968183426,1.88805216710921,3.43021772853101,4.80761640147566,5.89884892011417,6.705850911049,7.29250106176264,7.73990205915588,8.07164625672547,8.31245846873104
2184,0.541406762715567,2.00014035832794,3.67371450772977,5.13585095810641,6.29436632107848,7.15423028258491,7.77979978212363,8.22988050028601,8.56806747164378,8.82071476598353
2185,0.506939318030582,1.86334167317922,3.50904387241288,4.9723363886486,6.14635774147949,7.06271900769808,7.74165348021662,8.2323701573233,8.59075334422868,8.86571624716587
2186,0.492580213497752,1.73125124676362,3.23231192741353,4.64031125441564,5.77789723575578,6.6724964080481,7.37526993001698,7.92595918935811,8.35151235885726,8.66820004575505
2187,0.494226855705215,1.70283351648347,3.08971170737136,4.39293519490641,5.47621828035031,6.29545774597514,6.91961606676237,7.52104076687731,8.00861429450795,8.40920405841199
2188,0.52959762558127,1.84746325963614,3.30003734132595,4.59078726294175,5.66484652925281,6.49849048091838,7.1035472012373,7.55517541118403,7.99463365967989,8.34700916867567
2189,0.479862491746416,1.70141117711661,3.10983787766577,4.33024097125998,5.30203617099591,6.0629467461167,6.67756662769072,7.20301240954034,7.61442985366525,8.02001154925168
2190,0.485323341551618,1.66342161896081,3.02904574226228,4.25294933842928,5.19833580017759,5.91592720855276,6.49360154476255,6.97183645806226,7.40818159476394,7.76712687879083
2191,0.483652284402851,1.69160666451043,3.03243051192992,4.2427904444875,5.207738246181,5.94144285355014,6.50184497499431,6.9764735285498,7.37835976320407,7.74882618020822
2192,0.436961172900908,1.51514118322252,2.76957826520241,3.86587983092514,4.77298707510662,5.54792749252937,6.18231270352007,6.68287610169527,7.10401241894754,7.45878298457869
2193,0.52411808896205,1.73039396070439,3.06048301991779,4.2512381697139,5.17236212079703,5.88534291804693,6.46916793432067,6.9332866122977,7.29204279900028,7.60419011025314
2194,0.523224585700347,1.85558040270758,3.26500955533948,4.48249250553342,5.45442416734673,6.16055351640776,6.68709278753301,7.10762396500123,7.4442269838986,7.70731350578926
