year,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1977,0.06387867669867063,0.37756384095225276,0.9815441367563136,1.9069607357878162,2.958062804734323,3.9535005347184784,5.021285227939353,6.994911641653968,8.832096506306147,10.696892485692407,12.035753971366184,13.387338290521766,14.497785511232703,15.30717353082165
1978,0.05200975068362069,0.3142496600330846,0.9074069904908117,1.7192610327264544,2.7522084399266644,3.7982604855680338,4.732612993462883,6.702867386810355,8.523871171737008,10.126549669796132,11.727983378349604,12.89571995403822,14.078368994330264,15.057711182035415
1979,0.038392025483515925,0.23699056684308076,0.7164631280551893,1.4838284339001107,2.359151395600184,3.3574844481303323,4.340285979945809,6.384228545699429,8.21542167851083,9.811792127544074,11.183737233237126,12.573962373506507,13.591891629729721,14.625339725507263
1980,0.042350504143036545,0.21118296710246703,0.6175168519792336,1.2897548231730793,2.1624923254956587,3.043823396168916,4.0226750404936364,6.047204850417672,7.979931763340948,9.603685458837113,10.969886899280802,12.160437849115473,13.392752679464584,14.298421525817284
1981,0.04789458558686488,0.23972958495162344,0.6062604412273247,1.2164073717925536,2.0281367944957873,2.947590963863256,3.7993731200124574,5.948628856258921,7.926004044121719,9.682670878005924,11.091655174299232,12.241049855765796,13.225380932553541,14.274256180793676
1982,0.04585135919318233,0.24920617759477404,0.6425307590218599,1.1801080993685868,1.9153055033472668,2.7726001738229797,3.6775592699541533,5.561280076558203,7.646714555293345,9.425879260103175,10.932708777576412,12.144163142596652,13.1415700864841,14.007075677513106
1983,0.056390090848102134,0.27515454534508793,0.7199138581527073,1.3203466469353575,1.9968692773355148,2.8124089821515073,3.6803716347357733,5.565329031829408,7.43614445616637,9.351810235758574,10.901727764238109,12.16960759741845,13.178583949467221,14.0427170870639
1984,0.07711426742398664,0.3654133967421465,0.868900165848103,1.5769823457340524,2.3570100617160032,3.134623881769853,3.9949310598009196,5.7950639190563775,7.701679390609833,9.453195162883368,11.15170263323971,12.47417374757734,13.528501715622273,14.352423661653715
1985,0.06280123149004943,0.38405692374630535,0.9515553258268561,1.670455741484111,2.51639234924687,3.349855546535105,4.12263913265254,5.9560396146404315,7.731116879374191,9.48397148215477,11.016251503075189,12.44921590130656,13.538709988848803,14.418515577550174
1986,0.05352560743849776,0.31607430493280964,0.9266607790748006,1.6960212816606675,2.5184315412460045,3.389895828005394,4.190220330116445,6.043447762709958,7.832235646286184,9.45302146859813,10.980042932289827,12.269706205353438,13.47960794348016,14.414266354881086
