year,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1959,0.017750403918214322,,,,,,,,,,,,,
1960,0.02834854802009802,0.10885189686253846,,,,,,,,,,,,
1961,0.027494442895018456,0.13836384638357352,0.31234590799354445,,,,,,,,,,,
1962,0.02223871112933847,0.11946823697086534,0.33130972046055157,0.5800892033798906,,,,,,,,,,
1963,0.02324675397898367,0.10845984932623798,0.30665387714619474,0.6150020170503406,0.9189587688443885,,,,,,,,,
1964,0.018248859569679574,0.09556005793350147,0.2565085903552627,0.5304865123576555,0.8847782539211566,1.1988341879095175,,,,,,,,
1965,0.02326495862246472,0.09687212158353602,0.2648038902344119,0.5136090925946589,0.8599117616834154,1.2525757856293604,1.5738328598104367,,,,,,,
1966,0.023685817488693302,0.11252915197894792,0.26957469641488024,0.529284987759718,0.8462271378521887,1.234784831436574,1.637877827342153,2.6865917875909044,,,,,,
1967,0.01289443677450766,0.0778390544641365,0.223522644428474,0.4219011365642923,0.7028220468989922,1.011858477688105,1.3642500471710683,2.6315107572094614,3.7449212945297314,,,,,
1968,0.02472601741085532,0.08332501884116093,0.23946284354330374,0.47905822577554796,0.745549067328472,1.0772301243250704,1.4103424361540586,2.5434461538122943,3.9901694070216753,5.128052197527947,,,,
1969,0.02097857943659071,0.10818475520730392,0.23049195585445142,0.4704552879760317,0.7719790926539847,1.0697769303418474,1.4116642315968013,2.5428430713656067,3.823982433211365,5.2827558432674095,6.351304253759231,,,
1970,0.01897804982000309,0.09209677381921864,0.2608782730795251,0.43952753790539784,0.7351424624685003,1.0632836239730654,1.362865082880414,2.5333935871302433,3.805466505608987,5.097000823293724,6.460635164704516,7.420458092504682,,
1971,0.024827125936383455,0.10346651828400863,0.26750222909273574,0.5346754841833723,0.7706167048966917,1.1177791949697011,1.4694861080070474,2.504527537375804,3.837669380663831,5.131594607432482,6.353377134271644,7.584532569313397,8.437001487624388,
1972,0.019000284065422684,0.10202291145044584,0.25350686947594975,0.4890829072930975,0.8088794290798808,1.0630492779989453,1.4110838930920195,2.5300188643550148,3.6725284093025725,4.998437023254577,6.203036468285248,7.343147917441495,8.476745563986679,9.267337567170312
1973,0.021273600937410715,0.09362238872713714,0.2651783464484879,0.4925692383691376,0.7877625242421741,1.1422055035756982,1.4034127710398847,2.7255303171707492,4.03972362176327,5.242021965761097,6.537227677862413,7.651890219466199,8.66712160338128,9.646412271928533
1974,0.027193114173412705,0.11705158474407251,0.282819170887165,0.5609087078083007,0.8632196995540027,1.210498906672317,1.5921855014261872,2.7281316134984515,4.269836819236993,5.629828730899884,6.789879035938395,7.979018506457074,8.964790138041263,9.838526678015766
