Year,1,2,3,4,5,6,7,8,9,10
1990,0.07622099270063361,0.5671975333258766,1.691121752147799,3.9024431729364353,6.925757126754235,9.218855083093677,11.727012082016135,13.249178427148614,15.364775441801822,
1991,0.26690966413031003,1.0625459208979988,2.2318792610668106,4.363764439974073,7.192846218223116,10.417920191571227,10.745253119094961,14.225414550583418,,
1992,0.2639351482365343,1.087355389345256,2.704258053748047,5.273291021793483,7.3008017289244105,11.056330344160491,11.340210398045967,12.25528437922842,14.953636452348912,13.707110830532308
1993,0.24495074480185478,0.9405064958808562,2.6909181603173606,5.433196255800926,7.598098958017605,10.802649900356677,14.053546100872861,12.709786841149338,,16.592715316041616
1994,0.2551178203129426,0.8084226353661492,2.159189024447929,4.0973873296073995,8.121903051599602,9.92776230629946,12.201883264152068,13.396927559237145,13.848703904318562,
1995,0.2851151031450682,0.9681455570914402,1.9840314095407783,4.691084945744974,6.474323630255426,9.55369591349822,14.648928994203334,,15.441570236057904,
1996,0.21721668959809903,0.802229946215488,2.047137590787686,4.189892244449847,7.449711213709978,9.52845450455634,,11.331850757645059,15.907622889460132,
1997,0.15611007149693296,0.5904542188269174,2.0022857027406613,4.059305519825608,5.3492980666812056,9.545110017521552,11.087657680996308,,,12.058544996687715
1998,0.1979469741061658,0.635972421073518,1.8862002616359823,4.493836339954084,6.231647400590695,9.307590476997692,11.61921102296375,14.101554773016199,14.70875685673775,
1999,0.22076390060164935,0.6686960477536575,1.6056466779538376,3.1857024337688298,7.651645090351254,9.294266391289064,10.534288346257908,11.90319600454987,14.50471093028608,
2000,0.2018289165839891,0.8047844822949479,1.6561534153303024,3.2645719976038325,4.274554912268173,7.496415738112462,10.35507579677773,12.50626709992558,,10.148676218202755
2001,0.20184357729967461,0.5759446651501102,1.4714550402752749,2.7687317869089583,6.159930928699009,7.715400664499464,9.841500449838117,12.694948399530828,,10.000925106041649
2002,0.20586366499233094,0.6825907596181255,1.871438156819302,4.100008228586379,7.004200046678666,10.453984145539916,10.948191054514457,,,
