year,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2080,0.112472517991111,0.487173806103987,1.2003638995338,2.21726563687314,3.32307902448844,4.61808770950197,5.89680967031005,8.020364189166,10.42756830077,12.4337091040788,14.1801500841783,15.6175393315539,16.6103905552107,17.384437738402
2081,0.107780959997808,0.624809363625501,1.40568475051881,2.46511950324794,3.70806107848287,4.90711021949035,6.20117246902922,8.46058442212259,10.4678047551551,12.6064079339571,14.3099617776335,15.7481038993426,16.905727160091,17.6933251880696
2082,0.076148379818061,0.512431973828934,1.44793785489102,2.47620527305057,3.66284212944272,4.91571479974781,6.04258012504311,8.61163787509576,10.7091011984034,12.4724000237498,14.2763228427098,15.669912928784,16.8215555514563,17.7371278562399
2083,0.060535210450749,0.37758469595629,1.17770076522689,2.37383554789424,3.48080825320833,4.64082572758764,5.78616887480722,8.35603758497011,10.7300367366703,12.5567820838719,14.0366692369246,15.5088046285228,16.6217460469347,17.5588867109506
2084,0.042385841141173,0.273929507050408,0.84449954361987,1.85029057077414,3.08980981690638,4.12441690452143,5.1716224317658,7.86362827905249,10.2258281351691,12.2757281782784,13.792079920342,15.0201107617801,16.2554525451685,17.2084918798465
2085,0.068839101755187,0.299672397984762,0.837004124325443,1.70884961708802,2.92177437130563,4.21699701164271,5.21314679257493,7.44617048893064,9.99296062010635,12.0743579865675,13.801903401365,15.0433640504755,16.0323762841143,17.0495196442821
2086,0.071015763855428,0.389896334474591,0.893743151893008,1.71358161971138,2.78319593209241,4.07427659870335,5.32919688924671,7.54382231830301,9.67326045865748,11.9384483131311,13.7015266675148,15.1193736749024,16.1188728759174,16.9200420641174
2087,0.10219136340656,0.484406439201107,1.20976383791792,2.01014879307403,3.07643133289843,4.28734966070113,5.61221688270478,7.793142796231,9.91142880154775,11.8209096799463,13.7575457232072,15.2136024016065,16.3579937031858,17.1523294096631
2088,0.079578291594831,0.509862854464511,1.25351534021797,2.26668063546562,3.20908648972165,4.33750343390263,5.51976867490977,8.13486043811794,10.208571111208,12.1022583578876,13.7370113280756,15.3411565344705,16.5179087677955,17.427564117777
2089,0.073256582389165,0.427077122009489,1.25493632799702,2.26509665424763,3.41851728514647,4.38742144618845,5.47163424806956,7.84129712649823,10.294391832869,12.1187721164297,13.7193130218467,15.061468129823,16.3509783478009,17.3121844039178
