year,age1,age2,age3,age4,age5,age6,age7,age8,age9,age10
1960,0.348496199017196,1.57538800383197,,,,,,,,
1961,0.318475297340048,1.70419905330451,3.74403639279426,,,,,,,
1962,0.347221124927583,1.68516795578442,4.01758683866132,6.44219479816403,,,,,,
1963,0.292987834610976,1.66721928989606,3.87864130894738,6.63583258294331,9.07520643131421,,,,,
1964,0.251776263511439,1.43915855208536,3.71961958116459,6.33423029534258,9.07684342108651,11.3149358788591,,,,
1965,0.313926182741862,1.47145454767287,3.60257797161006,6.39007471024845,9.03465045013174,11.5542106642019,13.4984953163046,,,
1966,0.278420957141729,1.56215219095351,3.5509499814253,6.15336782546911,8.98423609417027,11.4031075294952,13.5784146919255,15.1899835957025,,
1967,0.279569574200437,1.46396301038797,3.65173780122871,6.05142636895346,8.69018624172361,11.2928552985003,13.365438064761,15.141438686876,16.4359826690538,
1968,0.314412484128201,1.54355371377869,3.61044348843837,6.3023565233654,8.78129356093382,11.2153080607208,13.4543416535531,15.1783420788092,16.6046718452174,17.6397150534623
1969,0.300231031324521,1.58543855263176,3.68594129589519,6.21353002148206,8.96243917931328,11.270352130854,13.4055728796077,15.2743333677205,16.6589150924075,17.7835892861692
1970,0.274154388829346,1.48937292621564,3.65513748308336,6.15369585950278,8.68410935610548,11.2052512368254,13.1598566240807,14.9335020137082,16.4524750869657,17.5702365930425
1971,0.262160545646787,1.40188954389665,3.46444628038284,6.06376033660095,8.57704409973636,10.9036763165117,13.0813406530852,14.6854222749902,16.1383052804315,17.3571278352668
1972,0.318198144928385,1.49511592696191,3.52422187037857,6.09095434143233,8.77797065891927,11.0902562177154,13.115110307323,14.8834256373616,16.2184609441798,17.381761062388
1973,0.310941314166279,1.62436170498634,3.63481531379946,6.11934052781704,8.74035809269292,11.2200463433485,13.2225330508351,14.8787083355254,16.3531373571498,17.4357101711748
1974,0.309443207512289,1.60338287730008,3.83605211181972,6.2665592283047,8.81253777821341,11.2717397321995,13.4141260377456,15.0988312705007,16.4613924554149,17.6413246518486
