year,age1,age2,age3,age4,age5,age6,age7,age8,age9,age10
1960,0.244486277236755,1.16018608220739,,,,,,,,
1961,0.214511599713802,1.24759781394944,2.89253277685047,,,,,,,
1962,0.246690252325308,1.25113780614865,3.11697232319181,5.19618876408805,,,,,,
1963,0.205180580117271,1.2367019648442,2.98926613480248,5.30541968723887,7.47329740898996,,,,,
1964,0.153190436640904,0.988572208361015,2.73049555285318,4.83001470846956,7.17145422538745,9.17606015723635,,,,
1965,0.216939017573994,1.00619692572962,2.61872556599666,4.88257971262981,7.09424467958191,9.29231843510276,11.110513603975,,,
1966,0.188163686170405,1.12063543313441,2.57236723441691,4.65979036210385,7.05778091708442,9.17104464369613,11.129014710493,12.6536601642932,,
1967,0.170870274157557,1.00631425776119,2.64507037569961,4.49397975747441,6.72664386355177,8.95823171900907,10.823489578128,12.5076743024535,13.7532244732111,
1968,0.209351802154634,1.04999521246238,2.65200777744467,4.78284463832921,6.77227348484015,8.92416310137066,10.9544341337371,12.5540104258055,13.9667668460245,14.9860054137123
1969,0.186731282096199,1.1076760905992,2.64072799298136,4.69285183038804,6.95748152247167,8.86287439663428,10.7608019914466,12.5068423883334,13.8585588078848,15.0203929433958
1970,0.160094311744222,0.963904551614564,2.60296398085235,4.52009610074928,6.66895135464165,8.82868015902972,10.4786439804596,12.1185266290856,13.5936843928689,14.7318576120445
1971,0.154032316472121,0.880683354304707,2.3580867675437,4.40503711625901,6.40764235641309,8.41743412444508,10.3363087204269,11.785520351409,13.2095646313241,14.4530805491941
1972,0.218690726299994,1.02742881243735,2.50220853247823,4.49176976015599,6.75504950651511,8.68867047565311,10.5523523185907,12.1998683917601,13.4282489600761,14.5979875435281
1973,0.199468304308216,1.16163059647525,2.64972033881292,4.57189472351015,6.72589670442404,8.89012231596863,10.632506159912,12.2169731602883,13.6086693327381,14.6209079355949
1974,0.231357928224107,1.18504496036474,2.95937831750989,4.89002432611849,6.93802711471118,9.05225665169968,11.0149250638208,12.5584538499266,13.9087625547443,15.0762238765906
1975,0.210301597800409,1.21104900309403,2.92374220500953,5.14637845985008,7.1611856054214,9.145986577651,11.0528519870911,12.7563255527799,14.0327238532744,15.1462120363271
1976,0.205986869575735,1.15957764182156,2.96986663694142,5.12866820362198,7.45694256729877,9.40909938601737,11.1860943293168,12.8068454985708,14.2306818516972,15.2801316986348
